Material Code,% ACV Subject to Royalty,MAX ROYALTY,PCKG
43177155.0,100.0,0.0,gmt
43177154.0,100.0,0.0,gmt
43152240.0,100.0,0.0,gmt
43068051.0,26.0,30000.0,pa
43060271.0,26.0,30000.0,pa
43060270.0,26.0,30000.0,pa
43060175.0,26.0,30000.0,pa
42961163.0,100.0,0.0,icw
42961161.0,100.0,0.0,icw
42939096.0,26.0,30000.0,pa
42927367.0,26.0,30000.0,pa
42927363.0,26.0,30000.0,pa
42927361.0,26.0,30000.0,pa
42865650.0,100.0,0.0,dac6
42864804.0,100.0,0.0,dac6
42864803.0,100.0,0.0,dac6
42864748.0,100.0,0.0,dac6
42864734.0,16.0,30000.0,pa
42829105.0,100.0,0.0,beps
42829063.0,100.0,0.0,dac6
42781792.0,26.0,30000.0,pa
42781791.0,26.0,30000.0,pa
42781638.0,26.0,30000.0,pa
42778530.0,100.0,0.0,dac6
42750160.0,100.0,0.0,dac6
42749974.0,100.0,0.0,dac6
42640610.0,26.0,30000.0,pa
42640179.0,16.0,30000.0,pa
42638818.0,10.0,8000.0,pa
42638816.0,14.0,8000.0,pa
42638815.0,24.0,30000.0,pa
42638814.0,14.0,8000.0,pa
42638813.0,10.0,8000.0,pa
42575370.0,100.0,0.0,beps
42536251.0,100.0,0.0,beps
42536250.0,100.0,0.0,beps
42534897.0,100.0,0.0,itc
42533744.0,100.0,0.0,itc
42533743.0,100.0,0.0,itc
42149481.0,100.0,0.0,beps
42148880.0,100.0,0.0,beps
42140398.0,100.0,0.0,beps
42140397.0,100.0,0.0,beps
42055152.0,100.0,0.0,beps
41922570.0,100.0,0.0,beps
41894585.0,100.0,0.0,beps
41885282.0,100.0,0.0,beps
30112044.0,100.0,0.0,beps
12345.0,33.0,234.0,pa
